sku,Name,Description,Product Line,Box Image,Detail Image,Detail Image,Detail Image,Detail Image,Detail Image,Detail Image,Primary Image
60065-atv-patrol,ATV Patrol,"Help… there’s a snake! The crook is busy hiding a backpack full of loot in the swamp when a long, slippery snake appears! Jump aboard the awesome ATV and race to the scene! Help the police officer catch the snake with the long snake grabber, then slap the handcuffs on the trembling crook! Includes 2 minifigures with assorted accessories: a police officer and a crook.",City,http://images.salsify.com/image/upload/s--6RLdraem--/q5enpn8wrpqlmkfwdeuw.png,http://images.salsify.com/image/upload/s--EEdCQ_BQ--/qdfdzn0sbtgvjzegtthm.png,http://images.salsify.com/image/upload/s--J3qzHHku--/dmfj5jgxys84qnmt4x84.jpg,http://images.salsify.com/image/upload/s--5m4Igh5e--/mhc2tqvroukan3e4vuuz.jpg,,,,http://images.salsify.com/image/upload/s--jY8gNZDb--/mxpjfb7dmvja4k1frgyd.jpg
60066-swamp-police-starter-set,Swamp Police Starter Set,"Help! The crooks are making an escape aboard a raft loaded with stolen goods and must be stopped! Board the high-speed swamp boat, start the engines and give chase! But keep an eye out for the hungry alligator lurking in the swamp! Includes 4 minifigures with assorted accessories: 2 police officers and 2 crooks.",City,,,,,,,,
60067-helicopter-pursuit,Helicopter Pursuit,"Join the high-speed pursuit! Stop the crook from escaping in her stolen speedboat. Jump aboard the powerful police helicopter and give chase! Thunder over the alligator infested swamp at breakneck speed and locate the fleeing crook. Lower the policeman down onto the fast-moving speedboat using the rope. Oh no… double trouble! Look out for the huge, snappy alligator lurking beneath the water! Includes 3 minifigures with assorted accessories: a pilot, a police officer and a crook.",City,,,,,,,,
60068-crooks-hideout,Crooks' Hideout,"Aha! The police have located a band of crooks offloading stolen goods at their secret hideout located deep in the swamp forest. The police helicopter is hovering overhead and a police 4x4 off-roader has arrived on the scene. But the crooks have jumped aboard their high-powered swamp boat and are making a getaway! Unload the police dinghy, fire up the powerful outboard motor and give chase. But watch out for the huge, snappy alligator lurking in the reeds. Catch those crooks before they escape! Includes 5 minifigures with assorted accessories: 2 police officers and 3 crooks.",City,,,,,,,,
60069-swamp-police-station,Swamp Police Station,"It’s business as usual at the high-tech Swamp Police Station, when crash…! “Sound the alarm!” The crooks have carried out a daring j ailbreak, by pulling the jailhouse door clean from its frame using a chain attached to their high-powered swamp boat! Mobilize all police units, deploy the 4x4 off-roader and jump aboard the powerful patrol boat. It’s time to catch those crooks and put them back behind bars where they belong! Includes 6 minifigures with assorted accessories: 2 crooks and 4 police officers.",City,,,,,,,,
60070-water-plane-chase,Water Plane Chase,"Vroom! The crook is making a getaway in his powerful off-roader, but the police are in hot pursuit aboard their high-speed water plane. Splash! The crook deploys a raft from the bed of his vehicle and takes to the alligator-infested water. Take the controls of the awesome water plane, swoop low over the raft avoiding the snappy alligator, land on the water and apprehend the dumbstruck crook! Includes 2 minifigures with accessories: a police officer and a crook.",City,,,,,,,,
60071-hovercraft-arrest,Hovercraft Arrest,"The crooks are busy stashing loot at their tree-house hideout located deep in the swamp, happy in the knowledge that no one could ever catch them in their getaway vehicle, a powerful, half-tracked off-roader. Little do they know that the police are about to arrive in the ultimate swamp vehicle—the police hovercraft! Get behind the wheel of this super-agile machine and apply the power, there’s no escape for the crooks this time! Includes 3 minifigures with assorted accessories: a police officer and 2 crooks.",City,,,,,,,,
60072-demolition-starter-set,Demolition Starter Set,"Join the demolition experts! The demolition of a derelict building is near completion, and with only a small part of the bathroom remaining it’s time to finish off the job! Operate the powerful jackhammer, swing the heavy sledgehammer, then jump aboard the awesome front loader and scoop up the rubble and remaining debris. What a busy day! Includes 4 minifigures with assorted accessories: 3 demolition workers and a foreman.",City,,,,,,,,
60073-service-truck,Service Truck,"Bubble, bubble, toilet trouble! Work is over at the construction site, and it’s time to move the portable toilet to its next destination. Help the driver lift the portable toilet using the powerful crane located at the rear of the awesome Service Truck, “aargh… hey!” Uh-oh… don’t forget to check if the toilet is engaged before you start! Includes 2 minifigures with assorted accessories: a driver and a worker.",City,,,,,,,,
60074-bulldozer,Bulldozer,"Call in the heavy-duty demolition Bulldozer! The dynamite has done its work and it’s time to demolish the remaining part of the old building to make way for new. Help the demolition experts finish off the job. Jump aboard the powerful bulldozer with its huge, moving blade and ripper, and tear down the remains of the old building! When you’re done, help the experts to clear up the rubble using the bulldozer’s powerful blade! Includes 2 demolition worker minifigures with assorted accessories: a man and a woman.",City,,,,,,,,
